Row,Average
1,0.6544835485843629
2,0.6623282360016572
3,1.211092353096156
4,1.3102953322994073
5,1.3102953322994073
6,1.4077499185390223
7,1.4378782056853001
8,1.4626432643351392
9,1.4827732083098528
10,1.502390123395439
11,1.5064312934351325
12,1.5230698146285464
13,1.5249597729755855
14,1.5249597729755855
15,1.5289106592262456
16,1.5289106592262456
17,1.5289106592262456
18,1.5399182723152405
19,1.5399182723152405
20,1.5661468318025962
21,1.5713798373838974
22,1.5722792261840457
23,1.577029087515341
24,1.5912002515011479
25,1.5912002515011479
26,1.602810664783257
27,1.6561041995027994
28,1.6735147924596205
29,1.6735147924596205
30,1.7946556175334856
31,1.7946556175334856
32,1.7963720935733922
33,1.7963720935733922
34,1.7963720935733922
35,1.7963720935733922
36,1.7963720935733922
37,1.7963720935733922
38,1.7995471448175777
39,1.7995471448175777
40,1.7995471448175777
41,1.8042814546045305
42,1.8042814546045305
43,1.8042814546045305
44,1.8042814546045305
45,1.8047377419185449
46,1.8047377419185449
47,1.8049608250849072
48,1.8049608250849072
49,1.8082163530874145
50,1.8910368393084214
51,1.9063034261289904
