Row,Average
1,0.5934684387949808
2,0.7046093625880239
3,0.9690137776539348
4,1.120966787623298
5,1.2901718690194526
6,1.3453726246279036
7,1.3476976861883716
8,1.4964323213431245
9,1.5726554736089917
10,1.6201798347653995
11,1.6232618745249545
12,1.6468074636225745
13,1.7243676843991118
14,1.7535684205099016
15,1.7694588975841838
16,1.8845434984964669
17,1.9838458587533137
18,2.009781982089575
19,2.017933521202714
20,2.1021817611809817
21,2.1220697119055245
22,2.1276205390783116
23,2.228285915347408
24,2.233068724091644
25,2.234937631653166
26,2.238169239602617
27,2.24731122065692
28,2.25914107016228
29,2.2726436695364995
30,2.274686947838012
31,2.274686947838012
32,2.274862612051413
33,2.27738670585713
34,2.3023780744777884
35,2.3052180020333344
36,2.3052180020333344
37,2.3082776028417236
38,2.308425827238418
39,2.308425827238418
40,2.3384924115628203
41,2.3417598092818883
42,2.3436812843779835
43,2.3456103582364927
44,2.3534377912874813
45,2.3783929192308575
46,2.3783929192308575
47,2.3783929192308575
48,2.3783929192308575
49,2.381192604282916
50,2.3894679737126028
51,2.3992812095912837
52,2.3992812095912837
53,2.4204496924958057
54,2.4242613524900762
55,2.4242613524900762
56,2.4252433130157653
57,2.436976348715854
58,2.436976348715854
59,2.4392086545845117
60,2.4574021741392045
61,2.4574021741392045
62,2.458486806125629
63,2.4763648162817984
64,2.483220670084753
65,2.4970793617635527
66,2.557373306640222
67,2.5924597503294753
68,2.5924597503294753
69,2.6028450792592914
70,2.6087146888393695
71,2.6112710131215424
72,2.6230903446584115
73,2.6230903446584115
74,2.623982479735198
75,2.623982479735198
76,2.6248391477976107
77,2.62606616786594
78,2.6280966814410447
79,2.6282879149561023
80,2.6283600684414568
81,2.6283600684414568
82,2.6283600684414568
83,2.6283600684414568
84,2.6283600684414568
85,2.6283600684414568
86,2.6302416491206158
87,2.6302416491206158
88,2.6302416491206158
89,2.632547740102102
90,2.6334009240112692
91,2.6334009240112692
92,2.6334009240112692
93,2.6334009240112692
94,2.6334009240112692
95,2.6334120611120704
96,2.6334120611120704
97,2.6334120611120704
98,2.6334120611120704
99,2.6334120611120704
100,2.634259698150319
101,2.634259698150319
