Iteration,Fitness
1,1.0195531053171183
2,0.6806167990573273
3,-0.04815333588524873
4,-0.07856470940832691
5,0.08151848635554143
6,0.09398987822608257
7,-0.5010793178574507
8,1.00719426129476
9,-0.010066559852638213
10,-0.6782759433102611
11,0.39297702290260483
12,-0.2857852995417405
13,0.18314914296354734
14,-0.33735402209909204
15,0.7183003265571395
16,0.052085593317531376
17,0.775782895472363
18,0.11716907872009508
19,-0.6156362769237078
20,0.23985325380636147
21,-0.44836227255223615
22,0.19431092214288526
23,0.246484751609501
24,-0.06582432452701492
25,-0.228229252236433
26,0.8300326003915101
27,-0.5130097212528011
28,0.23991945341427973
29,-0.8035302586377149
30,0.5725966522218312
31,-0.1493720109717376
32,0.20048250360812497
33,-0.5511001490814615
34,-0.8906849194242304
35,-0.47911731422289067
36,0.08590463564948547
37,0.6327435519348138
38,0.6284599401179646
39,-0.47426689760056157
40,0.20021471044656525
41,0.02046318298894506
42,-0.7017992030035332
43,-0.020601004058260486
44,-1.089302217062181
45,-0.11329930524034496
46,-0.19536770916877555
47,0.6250416171633397
48,-0.036228470283169445
49,-0.49687096381528895
50,0.5014810242202574
51,-0.2129155651510994
52,0.6961212164115909
53,-0.5884904195574331
54,-0.1985314776519005
55,-0.7557835046846504
56,0.4881902685516616
57,-1.0526711132280362
58,1.1499970777186852
59,0.027026370529518395
60,0.1356659848580194
61,0.42101419413869773
62,0.18400106243693776
63,0.28216099630010616
64,0.9175717066701919
65,0.2982415151932418
66,0.18885261294355948
67,0.23565230384317226
68,0.1851518470374125
69,-0.616856975176309
70,-0.5007291100644818
71,0.6091510724474881
72,0.07763715317880082
73,0.2715389218128862
74,-0.4433879133889012
75,0.7238814658748388
76,0.1704216790901138
77,-1.422582590580732
78,0.11069025350978862
79,0.10479836669402903
80,-1.2362560646947685
81,-0.3073533721408821
82,-0.3318287690134905
83,0.28008007025975873
84,-0.1565770775316663
85,-0.8777746179668986
86,-0.18874989967183994
87,-0.7635607384227152
88,0.3107691678868403
89,-0.7850836303740865
90,0.023033295016950284
91,0.3540879886198166
92,-0.7396146870460426
93,0.34408470625483367
94,-0.10939469817357816
95,-0.6973871726704299
96,0.2245903815214194
97,-1.0853145155261867
98,0.06723762167752445
99,-0.6539233372041302
100,0.1377676830881906
