Row,Average
1,1.6766471533000047
2,1.8875436845956393
3,2.0023425721756327
4,2.148520868491606
5,2.290343050680316
6,2.4107593086321293
7,2.467851392351327
8,2.6885466760550565
9,2.7471142854498063
10,2.7912606877253436
11,2.8960105369017533
12,2.9991601007518343
13,3.0992328008746015
14,3.1209999699946183
15,3.30924765185884
16,3.493018953277076
17,3.493018953277076
18,3.5237582286686817
19,3.5670305051097815
20,3.5670305051097815
21,3.8128150086086876
22,3.8128150086086876
23,3.901226338715884
24,4.057461369036374
25,4.186504104102436
26,4.212673374535256
27,4.26571071146727
28,4.274540384861125
29,4.274540384861125
30,4.299305990265295
31,4.336841972827216
32,4.348974877816163
33,4.350891337231736
34,4.350891337231736
35,4.352445151761999
36,4.352445151761999
37,4.406265240621573
38,4.406265240621573
39,4.406265240621573
40,4.4531216995494765
41,4.4546204284554385
42,4.4679172768874755
43,4.4679172768874755
44,4.488258221897692
45,4.543592664787517
46,4.54675781269659
47,4.54675781269659
48,4.54675781269659
49,4.579907621562609
50,4.590268121948988
51,4.590268121948988
52,4.590268121948988
53,4.643761053231043
54,4.6652830850962825
55,4.6652830850962825
56,4.706835658793224
57,4.7184051392869195
58,4.7184051392869195
59,4.7184051392869195
60,4.7184051392869195
61,4.7184051392869195
62,4.7184051392869195
63,4.7184051392869195
64,4.729064490444994
65,4.729064490444994
66,4.740798621576773
67,4.7824120407125426
68,4.795656488513643
69,4.795656488513643
70,4.825658794124751
71,4.83467004486481
72,4.83467004486481
73,4.83467004486481
74,4.83467004486481
75,4.83467004486481
76,4.8426366481148735
77,4.8426366481148735
78,4.8426366481148735
79,4.8426366481148735
80,4.8426366481148735
81,4.8426366481148735
82,4.8426366481148735
83,4.844151557731243
84,4.844151557731243
85,4.866587843937901
86,4.866587843937901
87,4.866587843937901
88,4.866587843937901
89,4.866587843937901
90,4.866587843937901
91,4.866587843937901
92,4.866587843937901
93,4.866587843937901
94,4.866587843937901
95,4.866587843937901
96,4.866587843937901
97,4.866587843937901
98,4.866587843937901
99,4.866587843937901
100,4.866587843937901
101,4.866587843937901
