Iteration,Fitness
1,1.3041275313811818
2,1.426668100702539
3,1.382330582124841
4,1.5544892998626243
5,1.320075556181963
6,1.3423793387408454
7,1.3813936967240719
8,1.4236608091206568
9,1.470602857609022
10,1.5630839952183215
11,1.5879267589139596
12,1.573598955643888
13,1.589649159316426
14,1.6281636707631102
15,1.6976019889814515
16,1.7535525876578761
17,1.7995360053180192
18,1.7803610867176192
19,1.78699206909413
20,1.8349923739289586
21,1.8264031427898186
22,1.811190000046171
23,1.7949430711714323
24,1.790290522554247
25,1.8491327313813128
26,1.8543501251616004
27,1.8413482748691763
28,1.810708405106702
