N,Fitness
1,-4
2,-2
3,0.3854665961201791
4,0.5500867095012033
5,0.8901730180969739
6,1.5211620105696078
7,1.7106125254195188
8,1.6668456163422534
9,1.7169829066133455
10,1.7304164802608921
11,1.69482716399661
12,1.7304164802608921
13,1.764190990815947
14,1.764190990815947
15,1.7055183081077736
16,1.8222710816136012
17,1.6630073187653012
18,1.7289227061071428
19,1.7602128633145349
20,1.7602128633145349
21,1.7472421003211842
22,1.7598059473449736
23,1.7433563638738876
24,1.7645474588407906
25,1.8101536182377786
26,1.8416843668294165
27,1.8547679007732962
28,1.8347773805731018
29,1.8347773805731018
30,1.8886365178182523
31,1.8678812171156705
32,1.834593288351769
33,1.8609514552900994
