Iteration,Fitness
1,0.8595569679091595
2,1.4700058185555793
3,1.8737731475971904
4,1.8737731475971904
5,1.8737731475971904
6,1.8737731475971904
7,1.8737731475971904
8,1.8815238173734488
9,1.8815238173734488
10,1.9456757996457448
11,1.9456757996457448
12,1.9456757996457448
13,1.9456757996457448
14,1.9456757996457448
15,1.9456757996457448
16,1.9456757996457448
17,1.9456757996457448
18,1.9456757996457448
19,2.2317476533577296
20,2.2317476533577296
21,2.2317476533577296
22,2.5935962145756215
23,2.5935962145756215
24,2.5935962145756215
25,3.248812369014251
26,3.248812369014251
27,3.248812369014251
28,3.248812369014251
29,3.248812369014251
30,3.248812369014251
31,3.248812369014251
32,3.248812369014251
33,3.248812369014251
34,3.248812369014251
35,3.248812369014251
36,3.248812369014251
37,3.248812369014251
38,3.248812369014251
39,3.248812369014251
40,3.248812369014251
41,3.248812369014251
42,3.248812369014251
43,3.248812369014251
44,3.248812369014251
45,3.248812369014251
46,3.248812369014251
47,3.248812369014251
48,3.248812369014251
49,3.248812369014251
50,3.248812369014251
51,3.248812369014251
52,3.248812369014251
53,3.248812369014251
54,3.248812369014251
55,3.248812369014251
56,3.248812369014251
57,3.248812369014251
58,3.248812369014251
59,3.248812369014251
60,3.248812369014251
61,3.248812369014251
62,3.248812369014251
63,3.248812369014251
64,3.248812369014251
65,3.248812369014251
66,3.248812369014251
67,3.248812369014251
68,3.248812369014251
69,3.248812369014251
70,3.248812369014251
71,3.248812369014251
72,3.248812369014251
73,3.248812369014251
74,3.248812369014251
75,3.248812369014251
76,3.248812369014251
77,3.248812369014251
78,3.248812369014251
79,3.248812369014251
80,3.248812369014251
81,3.248812369014251
82,3.248812369014251
83,3.248812369014251
84,3.248812369014251
85,3.248812369014251
86,3.248812369014251
87,3.248812369014251
88,3.248812369014251
89,3.248812369014251
90,3.248812369014251
91,3.248812369014251
92,3.248812369014251
93,3.248812369014251
94,4.1507117064708865
95,4.1507117064708865
96,4.1507117064708865
97,4.1507117064708865
98,4.1507117064708865
99,4.1507117064708865
100,4.1507117064708865
