Row,Average
1,0.8404369465272717
2,0.882779402224538
3,0.9619663828966729
4,0.9647536796032419
5,1.0002083140757165
6,1.008805051439016
7,1.0160689041470814
8,1.1699243221480136
9,1.2867585571958735
10,1.2867585571958735
11,1.2904505369518664
12,1.2904505369518664
13,1.2907675139325065
14,1.2997771377260907
15,1.302161782444563
16,1.325431650212766
17,1.3254819458036384
18,1.4640548197302643
19,1.4914942112361043
20,1.4914942112361043
21,1.4914942112361043
22,1.4914942112361043
23,1.5001634621319124
24,1.513125271386608
25,1.5333515109766929
26,1.54147190200475
27,1.54147190200475
28,1.5757370260659573
29,1.5761801130610142
30,1.583133265886491
31,1.5922861147132337
32,1.6650440766957721
33,1.6650440766957721
34,1.6683880350001026
35,1.6683880350001026
36,1.6683880350001026
37,1.7104239355271431
38,1.7104239355271431
39,1.712026680185426
40,1.7121576563961907
41,1.7599447926830258
42,1.7599447926830258
43,1.769169015681189
44,1.7703508231191574
45,1.7703508231191574
46,1.7703508231191574
47,1.7709016135870441
48,1.793828556450153
49,1.793828556450153
50,1.793828556450153
51,1.976971086599851
52,1.9882601516930158
53,1.9882601516930158
54,1.9913581060112697
55,1.9913581060112697
56,1.9913581060112697
57,1.9913581060112697
58,1.9913581060112697
59,1.9913581060112697
60,1.9916557187772383
61,1.9916557187772383
62,1.9916557187772383
63,1.9916557187772383
64,1.9916557187772383
65,1.9916557187772383
66,1.9916557187772383
67,1.9996145674385233
68,1.9996145674385233
69,2.000471743577466
70,2.000471743577466
71,2.000471743577466
72,2.000471743577466
73,2.000471743577466
74,2.000471743577466
75,2.000471743577466
76,2.000471743577466
77,2.000471743577466
78,2.000471743577466
79,2.000471743577466
80,2.000471743577466
81,2.000471743577466
82,2.000471743577466
83,2.0031904516107906
84,2.0031904516107906
85,2.0047507497471826
86,2.0047507497471826
87,2.0047507497471826
88,2.0047507497471826
89,2.0047507497471826
90,2.0047507497471826
91,2.0047507497471826
92,2.0047507497471826
93,2.0047507497471826
94,2.0102179561336073
95,2.0102179561336073
96,2.0102179561336073
97,2.0273416965741164
98,2.0273416965741164
99,2.0639141867142516
100,2.0641273006686527
101,2.0641273006686527
