N,Fitness
1,0.2800537761709296
2,0.2800537761709296
3,0.5805645933812654
4,0.5805645933812654
5,0.7616548092523258
6,0.8546148071065155
7,0.9897318495640214
8,1.047978032549029
9,1.109782673098871
10,1.1275073829622395
11,1.1275073829622395
12,1.1289430938943712
13,1.2041413820743756
14,1.2041413820743756
15,1.2041413820743756
16,1.2041413820743756
17,1.2041413820743756
18,1.2041413820743756
19,1.2048086741874684
20,1.2048086741874684
21,1.2048086741874684
22,1.222826951975769
23,1.222826951975769
24,1.222826951975769
25,1.2535157369746621
26,1.2535157369746621
27,1.2535157369746621
28,1.2535157369746621
29,1.2535157369746621
30,1.2535157369746621
31,1.2535157369746621
32,1.340888135571508
33,1.340888135571508
34,1.3964964085669058
35,1.3964964085669058
36,1.3964964085669058
37,1.4497323666729183
38,1.6483594187834436
39,1.9879636254763322
40,2.0813085146151264
41,2.0813085146151264
42,2.130151309915337
43,2.2197205857907023
44,2.2197205857907023
45,2.2197205857907023
46,2.270017472752912
47,2.4984202077710993
48,2.4984202077710993
49,2.646444985410586
50,2.646444985410586
51,2.646444985410586
