Row,Average
1,0.32460484972641646
2,0.532270749759929
3,0.750875463862183
4,0.9965433034532231
5,1.109800001624383
6,1.2698169123442415
7,1.3997445247223066
8,1.4197976610289496
9,1.4528037448773468
10,1.4837962822678759
11,1.486290479806276
12,1.4867690501169866
13,1.5118351461769877
14,1.5118351461769877
15,1.5177603245720057
16,1.5238351981771412
17,1.5343275773150047
18,1.5763628847229099
19,1.5765853154272742
20,1.5773884218705814
21,1.6168275039614954
22,1.75628651252058
23,1.75628651252058
24,1.8174771779144503
25,1.8521671783791787
26,1.8573728211141909
27,1.8878891001875076
28,1.8878891001875076
29,1.8878891001875076
30,1.9745940112089737
31,1.97805982302949
32,2.0071839558951052
33,2.0071839558951052
34,2.025720046893571
35,2.025720046893571
36,2.058781293552293
37,2.0765266129209636
38,2.1427356302911384
39,2.2562914461724124
40,2.2907352368152254
41,2.291847863842907
42,2.31265498510086
43,2.3425114103926483
44,2.346010950012051
45,2.346010950012051
46,2.364715179382622
47,2.4446816917910223
48,2.4446816917910223
49,2.495099338479334
50,2.495099338479334
51,2.4990350564372292
