Row,Average
1,-2.8
2,-0.9965935031100923
3,0.060655974289291516
4,0.45743950203980377
5,1.0558343243779436
6,0.945309607929202
7,1.045838369359273
8,1.063514320878017
9,1.3028639343565067
10,1.560097692373009
11,1.0613652456160723
12,1.2634950098971678
13,1.281509826491721
14,1.410024497817372
15,1.4254723162957776
16,1.5577733161079155
17,1.553345912720982
18,1.5470934954990234
19,1.4376823647132606
20,1.6140923019407971
21,1.4807406936705343
22,1.438807593354853
23,1.5194145294391945
24,1.6720839498564808
25,1.4991500807616724
26,1.7019415984452286
27,1.5209891005011262
28,1.5391356513144268
29,1.5434335771855863
30,1.5931359318762628
31,1.57651416247759
32,1.5681839078352189
33,1.5901167477486786
