N,Fitness
1,1.1607230358273128
2,1.2001554229187015
3,1.2001554229187015
4,1.2001554229187015
5,1.2730856426765504
6,1.2730856426765504
7,1.2730856426765504
8,1.2730856426765504
9,1.642043762606252
10,1.642043762606252
11,1.642043762606252
12,1.642043762606252
13,1.642043762606252
14,1.642043762606252
15,1.642043762606252
16,1.642043762606252
17,1.642043762606252
18,1.642043762606252
19,1.642043762606252
20,1.642043762606252
21,1.642043762606252
22,1.642043762606252
23,1.6429287877261805
24,1.6429287877261805
25,1.6429287877261805
26,1.6429287877261805
27,1.6429287877261805
28,1.6429287877261805
29,1.6429287877261805
30,1.6429287877261805
31,1.6429287877261805
32,1.6429287877261805
33,1.6429287877261805
34,1.6429287877261805
35,1.7978506650442654
36,1.7978506650442654
37,1.7978506650442654
38,1.9821354077379676
39,1.9821354077379676
40,1.9821354077379676
41,1.9821354077379676
42,1.9821354077379676
43,1.9821354077379676
44,1.9821354077379676
45,1.9821354077379676
46,1.9821354077379676
47,1.9821354077379676
48,1.9821354077379676
49,1.9821354077379676
50,1.9821354077379676
51,1.9821354077379676
52,1.9821354077379676
53,1.9821354077379676
54,2.080977178988301
55,2.080977178988301
56,2.080977178988301
57,2.080977178988301
58,2.080977178988301
59,2.080977178988301
60,2.080977178988301
61,2.080977178988301
62,2.080977178988301
63,2.080977178988301
64,2.080977178988301
65,2.080977178988301
66,2.080977178988301
67,2.080977178988301
68,2.080977178988301
69,2.080977178988301
70,2.080977178988301
71,2.080977178988301
72,2.080977178988301
73,2.080977178988301
74,2.080977178988301
75,2.080977178988301
76,2.080977178988301
77,2.080977178988301
78,2.080977178988301
79,2.080977178988301
80,2.080977178988301
81,2.080977178988301
82,2.080977178988301
83,2.080977178988301
84,2.080977178988301
85,2.080977178988301
86,2.080977178988301
87,2.080977178988301
88,2.080977178988301
89,2.080977178988301
90,2.080977178988301
91,2.080977178988301
92,2.080977178988301
93,2.080977178988301
94,2.080977178988301
95,2.080977178988301
96,2.080977178988301
97,2.080977178988301
98,2.080977178988301
99,2.080977178988301
100,2.080977178988301
101,2.4232610228047093
