Row,Average
1,-0.8059879795207499
2,-0.121336110124677
3,0.6370121121555034
4,0.8005450017290199
5,0.7940711664658286
6,1.123945223476684
7,1.0903941939466302
8,1.2037028089770667
9,1.3651720381697576
10,1.6564609186139474
11,1.5173985812486097
12,1.4435191527459719
13,1.556916838599726
14,1.5904030612414828
15,1.4999599062359814
16,1.446430697909324
17,1.6558797401385164
18,1.6585589374173755
19,1.6791221607911482
20,1.822275161891466
21,1.8475200119206427
22,1.8547778443822232
23,1.8752815765115245
24,2.014293164564072
25,1.975486544467295
26,1.997932025581126
27,1.9792768421557656
28,2.2451115033877316
29,2.2545451008996094
30,2.2756931082328666
31,2.2007029302960377
32,2.28312788881612
33,2.132658693361237
34,2.1666403092134026
35,2.2302814551486656
36,2.1398669477760217
37,1.9955479273161376
38,2.1560400456416073
39,2.315452888447473
40,2.4119522676171505
41,2.2797232163441725
42,2.120891439799837
43,2.3003944438875465
44,2.2971988624112365
45,2.1252014434205577
46,2.120286873017033
47,2.1158208687538753
48,2.1240258742774287
49,2.1742875152954264
50,2.394936808233035
51,2.2992509631990554
52,2.3383497786472645
53,2.2331886632153077
54,2.4043889186259264
55,2.418923206599865
56,2.2824417132988577
57,2.352089011842844
58,2.549288343144482
59,2.3099296311587034
60,2.612862108647979
61,2.5385108892104933
62,2.550842969016984
63,2.3317099674542856
64,2.53585647401606
65,2.4930354059805824
66,2.480713124928074
67,2.491490095666765
68,2.541410648702644
69,2.500071781154337
70,2.6748032607029577
71,2.592210205584819
72,2.5719705693531365
73,2.606424785494906
74,2.6065387615605777
75,2.7387939541329773
76,2.5791756760947306
77,2.5740547524175907
78,2.5667129313175137
79,2.8037510760295667
80,2.8045990801674305
81,2.7759938559878767
82,2.774759344039932
83,2.5984826076693706
84,2.5991977648999525
85,2.617325030231222
86,2.6144330199919623
87,2.617179525412065
88,2.6222070109124873
89,2.6222070109124873
90,2.728924143473088
91,2.7091272951076535
92,2.5179731737713094
93,2.5423976935720587
94,2.592875966150126
95,2.6105961299792915
96,2.633855782406617
97,2.616525461365944
98,2.6044989766131588
99,2.6175639152550283
100,2.769083607326956
