N,Fitness
1,-2
2,-0.13321022631971602
3,0.481245410712856
4,0.5667353051651198
5,0.4264527251349486
6,1.5968008617771041
7,1.6049284962810277
8,1.6049284962810277
9,0.9534123445764133
10,1.5538308834094765
11,1.2692844092003965
12,1.671116545605531
13,1.9317471792343115
14,1.9317471792343115
15,1.9317471792343115
16,1.3021338542999887
17,1.535954593129155
18,1.3516648361009773
19,1.3053206302417464
20,1.4990255411591036
21,1.331182074291279
22,0.7414311558701752
23,1.1909245689093522
24,1.402035531857172
25,1.1482065670724961
26,1.402035531857172
27,1.4317244320238525
28,1.363120649354909
29,1.9672437053735017
30,1.9983628966886435
31,1.9983628966886435
32,1.9672437053735017
33,1.3891809185695134
34,1.4888530035621375
35,1.350748100639973
36,1.350748100639973
37,1.5740295024563997
38,1.5267799938446371
39,1.631875722257098
40,1.8324097176634266
41,1.6033726323416166
42,2.0058249335652922
43,1.3889819463714257
44,1.6810469135670387
45,1.4701772609201218
46,1.879916657010042
47,1.879916657010042
48,1.879916657010042
49,1.6322702263426974
50,1.709380653725157
51,1.7046871159277397
52,1.8574377758031706
53,1.8574377758031706
54,1.8574377758031706
55,1.4883009250443664
56,1.878989634571803
57,1.937398245831342
58,1.937398245831342
59,1.937398245831342
60,1.937398245831342
61,1.6504380509140821
62,1.769441036446525
63,1.86275807954507
64,1.86275807954507
65,1.769441036446525
66,1.7740093704281854
67,1.9629457297529251
68,1.9030175767940958
69,1.7443596765508724
70,1.891944236008647
71,1.891944236008647
72,1.9867928967596007
73,1.7591369563995678
74,1.830269067579021
75,1.9289599189165307
76,1.8852232457283904
77,1.8968857562036132
78,1.8788579128218568
79,1.6790321456423003
80,1.8988581172111472
81,1.8988581172111472
82,1.8988581172111472
83,1.9524842463440915
84,1.9589445422730627
85,1.9589445422730627
86,1.9589445422730627
87,1.588495062646779
88,1.7840789615969985
89,1.7840789615969985
90,1.7840789615969985
91,1.8784895826739172
92,1.7071654620883976
93,1.8884690036876206
94,1.8884690036876206
95,1.867772300951212
96,1.8852628868036523
97,1.8852628868036523
98,1.9711172646489508
99,1.9711172646489508
100,2.012456378725643
