Row,Average
1,-2.0098819876785514
2,-0.8275655393765113
3,0.09948659395740825
4,0.17161990784967276
5,0.7129747070054611
6,1.1218985961930712
7,1.181593571350564
8,1.095196984498963
9,1.0582678776929333
10,1.473325543872042
11,1.1573559429483815
12,1.475249700415932
13,1.4943753514851188
14,1.5224633024066836
15,1.431832516593882
16,1.3315755485922895
17,1.3775404660032147
18,1.3758675087084271
19,1.3756387598927742
20,1.7107936809340654
21,1.1862168451908526
22,1.2150722980212083
23,1.4349339399657939
24,1.4726285298784205
25,1.543514554024964
26,1.756179093515004
27,1.5783558935467643
28,1.5923756346799545
29,1.6419239153244998
30,1.896257943376242
31,1.848821738191059
32,1.8723366905526782
33,1.7629891531510264
