N,Fitness
1,0.2864336427493043
2,0.33120254347197003
3,0.33577048758971306
4,0.35870131354961804
5,0.35870131354961804
6,0.3589018615527884
7,0.3624747548107569
8,0.36756504584016775
9,0.36756504584016775
10,0.36756504584016775
11,0.369010351239441
12,0.369010351239441
13,0.3721388003927568
14,0.3737535019568438
15,0.3737535019568438
16,0.38004128432500184
17,0.38004128432500184
18,0.38004128432500184
19,0.3823913315277865
20,0.3823913315277865
21,0.3823913315277865
22,0.3823913315277865
23,0.3823913315277865
24,0.3849266461178872
25,0.3849266461178872
26,0.3849266461178872
27,0.3849266461178872
28,0.3849266461178872
29,0.3849266461178872
30,0.3849266461178872
31,0.3849266461178872
32,0.3849266461178872
33,0.3849266461178872
34,0.3849266461178872
35,0.3849266461178872
36,0.3849266461178872
37,0.3849266461178872
38,0.3849266461178872
39,0.3849266461178872
40,0.3849266461178872
41,0.3851508791641066
42,0.3851508791641066
43,0.3851508791641066
44,0.3851508791641066
45,0.3875718561053526
46,0.3875718561053526
47,0.3875718561053526
48,0.3875718561053526
49,0.3875718561053526
50,0.3875718561053526
51,0.3891495099666089
