N,Fitness
1,1.3214934482639291
2,2.2976290883164214
3,2.2976290883164214
4,2.2976290883164214
5,3.0658574389520736
6,3.0658574389520736
7,3.608246315393779
8,3.608246315393779
9,3.631166060948814
10,3.631166060948814
11,3.631166060948814
12,3.9887093227092123
13,3.9887093227092123
14,3.9887093227092123
15,4.4994096982624665
16,4.4994096982624665
17,4.4994096982624665
18,4.537856961883726
19,4.537856961883726
20,4.537856961883726
21,4.537856961883726
22,4.592373439077732
23,4.671092484314295
24,4.671092484314295
25,4.674252511824617
26,4.8742215888684095
27,4.8742215888684095
28,5.091539445972811
29,5.091539445972811
30,5.091539445972811
31,5.091539445972811
32,5.213071441353748
33,5.213071441353748
34,5.213071441353748
35,5.213211451147996
36,5.213211451147996
37,5.213211451147996
38,5.300026833762307
39,5.300026833762307
40,5.300026833762307
41,5.300026833762307
42,5.300026833762307
43,5.300026833762307
44,5.3595001872725545
45,5.3595001872725545
46,5.3595001872725545
47,5.3595001872725545
48,5.3595001872725545
49,5.3595001872725545
50,5.492021584919701
51,5.492021584919701
52,5.492021584919701
53,5.492021584919701
54,5.492021584919701
55,5.492021584919701
56,5.492021584919701
57,5.492021584919701
58,5.492021584919701
59,5.636434081812301
60,5.636434081812301
61,5.636434081812301
62,5.806681384626831
63,5.806681384626831
64,5.836271208049045
65,5.836271208049045
66,6.010408031220477
67,6.010408031220477
68,6.010408031220477
69,6.010408031220477
70,6.010408031220477
71,6.025365240097813
72,6.025365240097813
73,6.025365240097813
74,6.025365240097813
75,6.025365240097813
76,6.025365240097813
77,6.025365240097813
78,6.025365240097813
79,6.025365240097813
80,6.025365240097813
81,6.025365240097813
82,6.025365240097813
83,6.025365240097813
84,6.025365240097813
85,6.025365240097813
86,6.025365240097813
87,6.025365240097813
88,6.025365240097813
89,6.025365240097813
90,6.025365240097813
91,6.025365240097813
92,6.025365240097813
93,6.035356112098244
94,6.035356112098244
95,6.035356112098244
96,6.075542553803075
97,6.075542553803075
98,6.075542553803075
99,6.075542553803075
100,6.075542553803075
101,6.075542553803075
