Iteration,Fitness
1,-0.28104961660822375
2,-0.008983267306632126
3,-0.5676008565454684
4,-0.5139544390662079
5,0.1592552601195839
6,-0.664443361832483
7,0.1706213285324064
8,0.5291930474573586
9,0.337144849719708
10,1.0222955077409002
11,-1.574225811246636
12,-0.23518182467584547
13,0.01710359361777991
14,-0.045094646544227845
15,0.10913624582858711
16,-0.15395760571266356
17,0.9816016145473826
18,-0.03828326203899174
19,0.4902370121239285
20,-0.7476580557098127
21,0.2301988526999782
22,0.06457336423803545
23,0.2522119168848995
24,-0.7178929384744894
25,0.48583794700126504
26,0.4299824185740416
27,0.1442137152200662
28,-0.16260047252682797
29,-0.032699800066943674
30,0.11875911645838166
31,-0.06229755410830656
32,-0.05964346770694484
33,0.00318177577383022
34,-0.5620342625674077
35,-0.1261369022861307
36,-0.5422033110299842
37,-0.5088123837446343
38,0.06526539344065446
39,0.5410324669456306
40,0.2190640235212195
41,0.7170184147144295
42,0.05238911044555361
43,-0.46443849618387634
44,0.20841807089645165
45,-0.6858661639801055
46,-0.5811436234482457
47,0.45260839956984444
48,0.0531913768127385
49,0.07621024548436228
50,-0.7153931800622364
51,-0.716909819632047
52,-0.08620339130342886
53,0.936883826920978
54,-0.12415845738784995
55,0.3740360408169647
56,-3.6233310732450486
57,-0.1763146954462889
58,-0.37585738269479385
59,0.02416685043185296
60,0.30683484585225834
61,-0.409543091731314
62,-0.856058093531747
63,0.26719204869288954
64,0.26563960349857557
65,-0.574601049924298
66,-0.5971600549213878
67,0.41165623802248263
68,-0.17534811342042012
69,0.12724221358951288
70,-0.6937999796392595
71,0.08426129200582905
72,1.089269290142747
73,0.18269435693595387
74,0.9115594225412047
75,-0.35841582011503476
76,0.5851201102281014
77,0.10241492813451153
78,-0.6843365618239539
79,0.5787109328204124
80,0.28268727528147547
81,0.7931106910693183
82,0.08802591300314383
83,0.0913369031973747
84,0.17682080011268891
85,0.0925768794467291
86,-0.018275340229394033
87,-0.5836791360214092
88,0.07378498639157222
89,-0.30716575047482453
90,-0.9213584614493439
91,-0.2191707992545247
92,-0.9472898964660342
93,-0.42255345358342206
94,0.18357364053220365
95,0.11781105337291242
96,0.17659894456532044
97,-0.3695730992869828
98,0.24357580467490875
99,-0.05141688529069122
100,0.2358465532726367
