Iteration,Fitness
1,1.9980953391290739
2,1.0648441355594611
3,0.6816510467502158
4,0.7424397209431376
5,1.0985046402047867
6,1.0599741420575413
7,1.8412209634051977
8,1.8967606571285474
9,2.3337927941824894
10,2.2540963296193706
11,2.5966306951264695
12,2.467439340097844
13,2.368114399540768
14,2.3963732687196426
15,2.4837525513131755
16,2.4599977983077417
17,2.443008573998486
18,2.4179461956823336
19,2.488598683803136
20,2.5575040536841644
21,2.4943678909822515
22,2.445648069430436
23,2.4337250801099306
24,2.4675739183549292
25,2.468557927854381
26,2.4296165897955873
27,2.430167075787637
28,2.348973587673943
29,2.413910164317471
30,2.523659075637733
31,2.4491204985845614
32,2.4851404880888284
33,2.3805314630892154
34,2.4588850009777588
35,2.4195371010325424
36,2.4631023510535064
37,2.465225647095286
38,2.4687544125003766
39,2.523903604152101
40,2.46894723860789
41,2.4962082942352133
42,2.4432519513610464
43,2.5373762731941545
44,2.553833475495508
45,2.4358753546699687
46,2.454443743165921
47,2.334346073377386
48,2.559185882564294
49,2.4042738556856293
50,2.5633940473262924
51,2.4929465547285075
52,2.5015518467569247
53,2.532180251006217
54,2.510380087980599
55,2.4390478582876485
56,2.4606162658862907
57,2.463001363861086
58,2.45240030108512
59,2.3871678085778987
60,2.467141689749946
61,2.4791836337422666
62,2.412895357673147
63,2.5590881876980505
64,2.5168840777972514
65,2.5169476208750474
66,2.529188317114319
67,2.47542001913876
68,2.507078753545314
69,2.4583798995163284
70,2.487883231062058
71,2.5837140281019497
72,2.575227427953305
73,2.5738453348657586
74,2.6034708975702863
75,2.5084534190813574
76,2.6204139067723267
77,2.491323470952114
78,2.502189166759549
79,2.5753667359975316
80,2.5577546870677934
81,2.496957830203472
82,2.4689123305027896
83,2.4457420479999743
84,2.5097649643679
85,2.4685857198482104
86,2.4343088670885638
87,2.4745387504763863
88,2.4384197735131883
89,2.502395531172481
90,2.482925788650092
91,2.5453825064000952
92,2.5504476452434606
93,2.4471038489796806
94,2.6027462244325177
95,2.510581065333451
96,2.5007744165551693
97,2.6189585249921707
98,2.4630963723649533
99,2.457412527958361
100,2.4865094907290244
