N,Fitness
1,-1.0
2,0.9183091677559616
3,1.075081951850813
4,1.0585429043365342
5,1.3994831862531159
6,1.4856243820967285
7,1.3994831862531159
8,1.5528127515275727
9,1.5528127515275727
10,1.6153532753090334
11,1.6761423486426654
12,1.6847357296165693
13,1.7110604108520562
14,1.6908733873083635
15,1.7161251666015311
16,1.7161251666015311
17,1.7137374009551918
18,1.7137848680237724
19,1.670359748078679
20,1.7146487885587267
21,1.6870953126484807
22,1.701319537696662
23,1.6969168161543382
24,1.720144988882284
25,1.722345911784867
26,1.7211835208367279
27,1.7503100375238003
28,1.7351667351513522
29,1.848330948717241
30,1.848330948717241
31,1.848330948717241
32,1.7521197664383732
33,1.8648599393472707
34,1.7787764178502763
35,1.8559028884695223
36,1.8559028884695223
37,1.8559028884695223
38,1.871687572070134
39,1.8747783470999426
40,1.9280420206477311
41,1.908469482177519
42,1.908469482177519
43,1.889587153868069
44,1.907728547694409
45,1.9385736046265931
46,1.9319990464916699
47,1.9231527654695215
48,1.9448483779354224
49,1.93674508512931
50,1.9504589591143047
51,1.9428054760110598
52,1.944413873969565
53,1.9508699150649988
54,1.9659041448250654
55,1.9659041448250654
56,1.9659041448250654
57,1.9659041448250654
58,1.9659041448250654
59,1.9659041448250654
60,1.9659041448250654
61,1.9659041448250654
62,1.9655949527915513
63,1.9655949527915513
64,1.9655949527915513
65,1.9655949527915513
66,1.9701131740609608
67,1.9655007305530647
68,1.9557767706651035
69,1.969714176406784
70,1.972872452830471
71,1.9693794753280565
72,1.9711059652211755
73,1.9708746003647284
74,1.9726075019184557
75,1.969856856150523
76,1.9698760287330832
77,1.970048631070799
78,1.9722638371304106
79,1.9722638371304106
80,1.9722638371304106
81,1.9695130762611526
82,1.9708815023592465
83,1.9708815023592465
84,1.9738497697801352
85,1.9738497697801352
86,1.9738497697801352
87,1.979079775160284
88,1.979079775160284
89,1.979079775160284
90,1.979079775160284
91,1.9733026948755392
92,1.9733026948755392
93,1.9733026948755392
94,1.9733026948755392
95,1.9733026948755392
96,1.9733026948755392
97,1.9734626148911216
98,1.9745558742856413
99,1.9745558742856413
100,1.9847640289306314
