N,Fitness
1,-2.0
2,-2
3,0.22511403900449822
4,0.7449344086551144
5,1.418919133196505
6,1.4865084721102553
7,0.5768963129766688
8,1.5210086998081525
9,1.7623353864812112
10,1.783489179553718
11,1.4479486562591901
12,1.4479486562591901
13,1.5894326874717477
14,1.640724454099528
15,1.7158006027058477
16,1.6914498609317716
17,1.7404757537010203
18,1.8133823761942605
19,1.6356009486980112
20,1.8579242607679722
21,1.8582769838479511
22,1.8582769838479511
23,1.8582769838479511
24,1.8634381480275644
25,1.8634381480275644
26,1.8634381480275644
27,1.8634381480275644
28,1.8634381480275644
29,1.8634381480275644
30,1.8819239489497614
31,1.8628563119715058
32,1.8628563119715058
33,1.8640691301199968
34,1.8720216138265426
35,1.8735171747394093
36,1.8735171747394093
37,1.8905678252425702
38,1.8905678252425702
39,1.8905678252425702
40,1.8911501924379004
41,1.9267120645862215
42,1.9267120645862215
43,1.9069291795763998
44,1.8959753441254796
45,1.8959753441254796
46,1.9212768952172152
47,1.8965520403422724
48,1.9038675979613968
49,1.8918559884307036
50,1.931391603841988
51,1.8992622262731
52,1.8994363179069187
53,1.9036770035336437
54,1.9036770035336437
55,1.904088195081811
56,1.9059919595829347
57,1.9081436368520865
58,1.9107504866625695
59,1.9107504866625695
60,1.9118386217499235
61,1.907523185296081
62,1.9133957730078595
63,1.9133957730078595
64,1.9170984262387187
65,1.9170984262387187
66,1.9116467875209664
67,1.9111390893418396
68,1.9134868904720097
69,1.9151901374402498
70,1.923395518634063
71,1.923395518634063
72,1.923395518634063
73,1.923395518634063
74,1.923395518634063
75,1.923395518634063
76,1.9208685535835883
77,1.923395518634063
78,1.924596626338686
79,1.924596626338686
80,1.924596626338686
81,1.9249853405017134
82,1.9163428841127748
83,1.9174125527957502
84,1.9174125527957502
85,1.9174125527957502
86,1.9200763455037042
87,1.9211634544506468
88,1.9211634544506468
89,1.9392077824961755
90,1.946615130293575
91,1.9266998170482754
92,1.9266998170482754
93,1.9266998170482754
94,1.9266998170482754
95,1.9266998170482754
96,1.9266998170482754
97,1.9266998170482754
98,1.935973142602121
99,1.935973142602121
100,1.9451497485135785
