Iteration,Fitness
1,0.05773634691162138
2,0.18405511912638411
3,-3.4251621422989063
4,-0.17099686681366438
5,0.053908377113525585
6,-0.06172291647790373
7,-3.5319891566928683
8,0.034741961138232635
9,-3.2488080783227073
10,-0.0012719736650518287
11,-0.9017357990589383
12,-0.011270155394477677
13,-3.5500547674507814
14,-0.040522959498443645
15,0.6573923541210488
16,0.11778319269465748
17,-0.09058631246406373
18,-0.020201904540348925
19,-0.09260565313852759
20,-0.023848991858202884
21,-0.06251868573507541
22,-0.2633777318548747
23,-0.07787381293748846
24,-0.038682675395682875
25,-0.07276910368994699
26,-0.1084448736942831
27,-0.11380214746540673
28,-0.09835521906513428
29,-0.15040437128188605
30,-3.2996415923311164
31,-0.06756919467465816
32,0.14326268056189945
33,-3.487396985420532
34,0.009802148326430837
35,-0.022080525467968515
36,-0.1820629410972724
37,-0.2702972090797968
38,0.03353679770685586
39,0.01724873856755882
40,-0.0402523721345035
41,1.14950277354874
42,-0.09096625939961228
43,-0.1336705471213284
44,-0.2080591315729997
45,-0.04849197747580236
46,0.3878202336979876
47,-0.33911041732684316
48,-0.14498670857411258
49,-0.018097130140265483
50,-0.21905671378393482
51,-0.20365189690904098
52,-0.07706111426027329
53,0.681741045637663
54,-3.6446736399077926
55,-0.1842014585543647
56,-0.07762831314376656
57,-0.08357760585618085
58,0.0326445559972211
59,-3.1539446154126414
60,-0.11031942233166336
61,-3.5155389486074684
62,0.08163681536731521
63,-0.13245859761659948
64,-3.4937999590448503
65,-0.012000118540727411
66,-0.08157015008578317
67,-0.109795144480448
68,-0.06190225068358968
69,-3.4957118547268053
70,-0.02942589608827706
71,-0.19859622206224029
72,-0.015035919579896861
73,-3.461367916345801
74,-0.059787095894319575
75,0.0002934799640454955
76,-0.09431571622465379
77,-0.04216918165275235
78,-3.4860275986146316
79,0.03367807105854875
80,-0.060596126361364466
81,-0.05756147674195089
82,-0.1220268533717761
83,-3.5143162722546704
84,-3.520104416116753
85,-0.15241410606267425
86,-0.09362353771420423
87,-0.0016668481355128217
88,-0.24386686369025629
89,-0.07844674956792863
90,0.013767103311820794
91,-0.16003142537756335
92,-0.0995920122962704
93,-0.1760896970733375
94,-3.5393602927253403
95,0.44174864951721654
96,-3.4776257780301063
97,-3.5347753517410343
98,-0.16431656350199036
99,-0.18053845808410643
100,-0.012127602882006594
