N,Fitness
1,0
2,0.10134221295958878
3,0.06919325396426584
4,1.7885916857327258
5,1.7885916857327258
6,1.7885916857327258
7,1.1863657130386138
8,0.8634373791954912
9,0.9249090312106576
10,1.3483804950203853
11,0.32354016156039594
12,0.6331239168459832
13,1.7279269588385016
14,1.2236080005360683
15,1.4649739112760165
16,0.8741815141413721
17,1.5870227060242332
18,1.7493847489992846
19,1.692603298059865
20,1.8047053872495544
21,1.8645962042768478
22,1.7081738129857924
23,1.8307482262473067
24,1.8402299671732003
25,1.8507340693805268
26,1.8876603694638812
27,1.8853257811703028
28,1.8853257811703028
29,1.884503702517864
30,1.890559415540945
31,1.890559415540945
32,1.890559415540945
33,1.8982943416664042
34,1.8777347893897418
35,1.8983527992360891
36,1.8983527992360891
37,1.8983527992360891
38,1.8983527992360891
39,1.9037723825692732
40,1.9395568777961638
41,1.8912731382596994
42,1.9024886834569628
43,1.9020944354347706
44,1.9112360071528933
45,1.9154609518460757
46,1.9043653701947527
47,1.9114208455692567
48,1.9083283305254068
49,1.9170177209741064
50,1.9548584160531544
51,1.955003799931088
52,1.955003799931088
53,1.9319176777162312
54,1.9661151062178617
55,1.9135914644072416
56,1.955139702910645
57,1.9285828470383397
58,1.9490091735500645
59,1.976822016650821
60,1.9869462837313507
61,1.9210806168755703
62,1.931937548639684
63,1.929827528702812
64,1.9306844643516679
65,1.9288171165527386
66,1.9338999247080229
67,1.9312546772817984
68,1.9420927282195144
69,1.9275727546606796
70,1.9429867203094107
71,1.9411663475340377
72,1.9464671823462816
73,1.9397304757270455
74,1.9397304757270455
75,1.9399368652245852
76,1.9554213664047435
77,1.9554213664047435
78,1.9554213664047435
79,1.9488969348495868
80,1.9572610231012058
81,1.9468497190899796
82,1.9461635874989662
83,1.9471477766125769
84,1.9481206537786029
85,1.9477903014036857
86,1.9477903014036857
87,1.9477903014036857
88,1.9490320609630627
89,1.9490320609630627
90,1.9843859888964825
91,1.9600881720654015
92,1.9600881720654015
93,1.9600881720654015
94,1.942008682446328
95,1.950858022603185
96,1.9587452050963872
97,1.962645208131211
98,1.962645208131211
99,1.966029529782455
100,2.252374980923488
