Row,Average
1,0.0
2,0.020268442591917755
3,0.01383865079285317
4,0.35771833714654516
5,0.5236014271210344
6,0.7345009880436477
7,0.9170198555552993
8,0.9761349272278185
9,1.1160061734872788
10,1.4772586944665262
11,1.0341295984459555
12,1.246426085706808
13,1.5003372505474064
14,1.2537610546607207
15,1.405355256836638
16,1.2591432332094528
17,1.2692867177140437
18,1.4139673146863792
19,1.4998785564437764
20,1.6280812634440214
21,1.4658058520859287
22,1.5602111791769815
23,1.5265100598599521
24,1.56093422592341
25,1.5684914073023497
26,1.5035245086146276
27,1.5054918817599148
28,1.6208972564933848
29,1.5600666172951707
30,1.6566914222482452
31,1.515066236630099
32,1.5415142372447246
33,1.609804824485396
34,1.5951150669260767
35,1.5329235795032727
36,1.5954200418387545
37,1.5872888986587974
38,1.5900987810282652
39,1.5663158594903308
40,1.6383689812620108
41,1.5850184947868624
42,1.5977897463427966
43,1.5829493335851004
44,1.6165250744915927
45,1.6454970069918204
46,1.6324954332388433
47,1.6366311992850118
48,1.631371908774139
49,1.679663471777817
50,1.7009950357620158
51,1.6475065442190822
52,1.8220932543685895
53,1.8182232024609821
54,1.8305199653329638
55,1.7981900391921897
56,1.7080458812020969
57,1.7389239793787024
58,1.7914071692100173
59,1.853528100931126
60,1.8771478297348083
61,1.8253833777088733
62,1.7980401831789674
63,1.7947794977661249
64,1.8469593584793913
65,1.826020086223863
66,1.8742183132575376
67,1.871075471730799
68,1.8785352078887765
69,1.8315871902843217
70,1.8973889546976637
71,1.8821850718793052
72,1.8576418254386085
73,1.892973686183265
74,1.893321587855062
75,1.8933628657545696
76,1.9034752004599926
77,1.8991601217591096
78,1.8546923786961997
79,1.8620315546609247
80,1.89386304517341
81,1.8910361236318576
82,1.889762757192641
83,1.8902847830429739
84,1.8911566115908047
85,1.9012595066639384
86,1.9221624768295662
87,1.898497928543626
88,1.9052071992690618
89,1.9032869374784345
90,1.9279659938445213
91,1.9093906343327394
92,1.923767181982034
93,1.9239904342553191
94,1.9220426333075658
95,1.8992669238515472
96,1.908955809391665
97,1.9279867298953057
98,1.9299528563678845
99,1.9306770685526604
100,1.9913622654050733
