Row,Average
1,1.105302930951293
2,1.4127079684691366
3,1.6383969786377328
4,2.162232436363607
5,2.3591080692778967
6,2.361463854038541
7,2.542611488236576
8,2.5962386309299643
9,2.749691017839209
10,2.9274952846121245
11,3.0139808105588672
12,3.0429097062638486
13,3.382853995265517
14,3.382853995265517
15,3.516473809013747
16,3.5868484908273723
17,3.763420197294842
18,3.785411772956549
19,3.925167912783587
20,4.0059430783553776
21,4.0852402521746
22,4.1447137575831245
23,4.224592758750198
24,4.278921876222478
25,4.389529343323463
26,4.459722210811857
27,4.503994116125513
28,4.53303343808845
29,4.555009107668452
30,4.618352829347417
31,4.618352829347417
32,4.626212289477178
33,4.645240624270352
34,4.645240624270352
35,4.651055147162159
36,4.696045159919724
37,4.737754005721759
38,4.830540668749636
39,4.833654074862727
40,4.845579364229192
41,4.846304517547467
42,4.846304517547467
43,4.852889417518606
44,4.853210156771469
45,4.869891954272729
46,4.915146272779305
47,4.997580669621959
48,5.0210626668814005
49,5.0210626668814005
50,5.062551369351164
51,5.094632714959042
52,5.096217615365374
53,5.096217615365374
54,5.116769852503082
55,5.116769852503082
56,5.164083678293457
57,5.164083678293457
58,5.180071587486674
59,5.185780621678123
60,5.185780621678123
61,5.185780621678123
62,5.185780621678123
63,5.186538639348193
64,5.1942940310114825
65,5.215644857282981
66,5.227135941935096
67,5.227135941935096
68,5.227135941935096
69,5.227135941935096
70,5.227135941935096
71,5.227135941935096
72,5.227135941935096
73,5.227135941935096
74,5.230249464673856
75,5.230249464673856
76,5.230249464673856
77,5.230249464673856
78,5.230249464673856
79,5.243736631253748
80,5.243736631253748
81,5.245381979658683
82,5.263418283136206
83,5.361724336707587
84,5.361724336707587
85,5.372854921155486
86,5.372854921155486
87,5.410103945671329
88,5.410103945671329
89,5.418864819580222
90,5.418864819580222
91,5.422147903818472
92,5.422147903818472
93,5.528217466408084
94,5.5391114431086805
95,5.588493264104668
96,5.588493264104668
97,5.608624335724447
98,5.61186090407435
99,5.617282859846469
100,5.617282859846469
101,5.646597535774203
