N,Fitness
1,0.17819480868217313
2,0.21181501712212503
3,0.21234229989433218
4,0.21234229989433218
5,0.2140048401771143
6,0.2140048401771143
7,0.22014756326786822
8,0.22014756326786822
9,0.22014756326786822
10,0.22014756326786822
11,0.22014756326786822
12,0.22014756326786822
13,0.22014756326786822
14,0.22014756326786822
15,0.22014756326786822
16,0.22014756326786822
17,0.22014756326786822
18,0.22014756326786822
19,0.22014756326786822
20,0.22014756326786822
21,0.22014756326786822
22,0.22026709087874996
23,0.22481843573501048
24,0.22481843573501048
25,0.2250103608888412
26,0.22727160502669935
27,0.2323102305439056
28,0.23749694112449476
29,0.23749694112449476
30,0.23749694112449476
31,0.2431174882197013
32,0.2431174882197013
33,0.2431174882197013
34,0.24335064347526608
35,0.49892206924384314
36,0.49892206924384314
37,0.6089825530322568
38,0.6089825530322568
39,0.6089825530322568
40,0.6089825530322568
41,0.6643881618745844
42,0.8196001097673009
43,0.8196001097673009
44,0.8196001097673009
45,0.9035979775206326
46,0.9661463913413213
47,1.019355913106595
48,1.044256619464978
49,1.07875402101763
50,1.07875402101763
51,1.07875402101763
