Iteration,Fitness
1,1.2474875341533616
2,0.41259487477699736
3,0.9623837132039162
4,1.334689240477456
5,1.0284382696568302
6,1.3835590859385967
7,1.2421410837352962
8,1.4620917219189444
9,1.4424614048841675
10,1.4286122034755315
11,1.4730504939937532
12,1.6244158791493777
13,1.6947893034940147
14,1.7009926966174886
15,1.6092539995880482
16,1.5333356301340042
17,1.644874259504519
18,1.7749652822002837
19,1.827609186208991
20,1.6619667650745493
21,1.796744455456346
22,1.854760741454024
23,1.8211902460536187
24,1.820974408437755
25,1.8548200583626226
26,1.7050159376217964
27,1.7865345373139354
28,1.8459306187019224
29,1.8275294731718932
30,1.8383664929563064
31,1.851603770507538
32,1.8473309468202013
33,1.8465853288104288
34,1.8047650117193654
35,1.8535283991100322
36,1.89784993231865
37,1.7983177526899494
38,1.8955909536012652
39,1.8438040120416697
40,1.7889653227612055
41,1.8367688835658456
42,1.814307840627681
43,1.8190044332091777
44,1.8050902012542789
45,1.7690395263632375
46,1.8895700918888025
47,1.8445191795367306
48,1.8634063994227847
49,1.8396186377251338
50,1.83862223025385
51,1.8265286966952894
52,1.894493588339475
53,1.8157067371225752
54,1.8917542405645842
55,1.8422460293990408
56,1.830049864376151
57,1.8698974914185544
58,1.8455343209807744
59,1.9104513037868809
60,1.8947358563147432
61,1.8477131771738835
62,1.9130109424536972
63,1.8745251373378233
64,1.8615764091010731
65,1.8532560269941707
66,1.81485906052282
67,1.8565704123379616
68,1.8745962835891028
69,1.935633838150145
70,1.861051815272485
71,1.878711507545977
72,1.8584514976186692
73,1.8388916969299662
74,1.8201056416080619
75,1.866860900371244
76,1.8344025519041744
77,1.8541688201338105
78,1.8469786621684736
79,1.8432162904017977
80,1.8847410015484654
81,1.846639801845294
82,1.8526691721929973
83,1.8482252215610868
84,1.8354653192523924
85,1.8614315927911045
86,1.8334534373892173
87,1.871360401853584
88,1.8611629758466341
89,1.8892061330053396
90,1.9169818238314578
91,1.880748951024503
92,1.8190779309843859
93,1.8416135750235887
94,1.843868955787614
95,1.8712319926269247
96,1.8398723224382858
97,1.854601328773491
98,1.8518037207484896
99,1.8308951490771004
100,1.8158618218156282
