N,Fitness
1,0.39750363975662373
2,0.39750363975662373
3,0.39750363975662373
4,0.6873832935023955
5,0.6873832935023955
6,0.6873832935023955
7,0.6873832935023955
8,0.6873832935023955
9,0.7471332132273854
10,0.7471332132273854
11,0.9647454352934385
12,0.9647454352934385
13,1.0020150243486956
14,1.0020150243486956
15,1.1207320129620724
16,1.1436724769466506
17,1.1436724769466506
18,1.1436724769466506
19,1.1557530448963362
20,1.3741465858996529
21,1.3741465858996529
22,1.3741465858996529
23,1.3741465858996529
24,1.50233231978872
25,1.73874266148982
26,1.73874266148982
27,1.73874266148982
28,1.835517523511509
29,1.9470457000548111
30,2.0658265117007
31,2.0658265117007
32,2.1176129532500982
33,2.144806061459604
34,2.144806061459604
35,2.1927260301413765
36,2.1927260301413765
37,2.2578761193453056
38,2.2578761193453056
39,2.2578761193453056
40,2.389769020478058
41,2.389769020478058
42,2.389769020478058
43,3.027286376029753
44,3.027286376029753
45,3.027286376029753
46,3.027286376029753
47,3.027286376029753
48,3.053607471145523
49,3.053607471145523
50,3.053607471145523
51,3.398024073843659
52,3.398024073843659
53,3.398024073843659
54,3.398024073843659
55,3.723197582991583
56,3.775654198564742
57,3.797903041442823
58,3.797903041442823
59,3.797903041442823
60,3.797903041442823
61,3.797903041442823
62,3.797903041442823
63,3.797903041442823
64,3.797903041442823
65,3.797903041442823
66,3.797903041442823
67,3.797903041442823
68,3.797903041442823
69,3.797903041442823
70,3.797903041442823
71,3.797903041442823
72,3.797903041442823
73,3.797903041442823
74,3.797903041442823
75,3.797903041442823
76,3.797903041442823
77,3.797903041442823
78,3.797903041442823
79,3.797903041442823
80,3.797903041442823
81,3.797903041442823
82,3.797903041442823
83,3.797903041442823
84,3.797903041442823
85,3.797903041442823
86,3.797903041442823
87,3.797903041442823
88,3.797903041442823
89,3.797903041442823
90,3.797903041442823
91,3.797903041442823
92,3.797903041442823
93,3.797903041442823
94,3.797903041442823
95,3.797903041442823
96,3.797903041442823
97,3.797903041442823
98,3.797903041442823
99,3.797903041442823
100,3.797903041442823
101,3.797903041442823
